Region,District,FirstNation,Community,Water System Name,System Type,Advisory Type,Advisory Reasons,Date Set,Date Revoked ,BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS,
Quebec,,Algonquine/Kitigan,Zibi Kitigan Zibi,KIZ (Maniwaki Community system),PWS,1,4,2006-06-06,2006-07-03,,,,,,
Alberta,Treaty 8,Dene Tha',Bushe,5 Plex ,PWS,1,"2,4",2004-09-13,2006-09-01,,,,,,
Alberta,Treaty 8,Dene Tha',Bushe,5 Plex ,PWS,1,4,2008-07-11,2010-12-20,,,,,,
Ontario,Thunder Bay,CONSTANCE LAKE FIRST NATIONS,Constance Lake,A and J Sutherland Store ,SPWS,1,5,2010-02-14,2010-02-14,,,,,,
Alberta,Treaty 8,Sucker Creek,Sucker Creek,Administration Building/health Centre ,PWS,1,4,2009-04-14,2009-05-25,,,,,,
Ontario,Southern,ALGONQUINS OF PIKWAKANAGAN,Golden lake,Administration Office ,PWS,1,4,2008-07-07,2013-02-15,,,,,,
Ontario,Southern,Wahta Mohawk,Wahta PWS,Administration/Community centre ,SPWS,DNC,4,2013-09-11,None,,,,,,
Atlantic,,ABEGWEIT,Morell,Morell,PWS,1,3,2009-04-29,2015-11-17,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2006-05-02,2006-05-08,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2010-11-25,2011-01-07,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,5,2012-03-15,2012-04-05,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2012-12-13,2012-12-19,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2014-09-23,2014-09-26,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2015-11-14,2015-11-16,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2015-11-18,2015-11-20,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2016-01-26,2016-01-29,,,,,,
Alberta,Treaty 7,Blood,Blood,Albert's Gas Bar ,SPWS,1,"r,12",2014-09-19,2014-11-20,,,,,,
Ontario,Southern,Alderville First Nation,Alderville ,"Alderville Admin. Building/
Learning Centre",SPWS,1,1,2015-10-16,2015-11-06,,,,,,
Ontario,Southern,Alderville First Nation,Alderville ,"Alderville Anishnaa Kwewag Gamig 
Services ",SPWS,1,"1,3",2016-01-28,2016-05-05,,,,,,
Ontario,Southern,Alderville First Nation,Alderville ,Alderville Community Centre/Daycare,SPWS,1,6,2013-05-29,2016-02-11,,,,,,
